Row	viability
C_807	0.907
C_808	0.906
C_809	1.0717
C_810	1.163
C_811	1.0665
C_812	1.0084
C_813	0.84
C_814	0.54
C_815	0.34
C_816	0.939
C_817	1.0428
C_818	0.926
C_819	0.87
C_820	0.82
C_821	0.79
C_822	0.901
C_823	0.82
C_824	0.927
C_825	1.0783
C_826	0.89
C_827	1.0105
C_828	0.9948
C_829	0.983
C_830	0.975
C_831	0.81
C_832	1.0709
C_833	1.15
C_834	1.0897
C_835	1.113
C_836	1.0707
C_837	0.959
C_838	0.968
C_839	0.963
C_840	1.0787
C_841	1.17
C_842	0.9968
C_843	1.167
C_844	0.9953
C_845	0.968
C_846	1.082
C_847	0.59
C_848	1.0206
C_849	0.82
C_850	0.932
C_851	0.86
C_852	0.64
C_853	0.54
C_854	0.59
C_855	0.42
C_856	0.918
C_857	0.84
C_858	1.111
C_859	0.82
C_860	1.28
C_861	1.194
C_862	1.116
C_863	0.16
C_864	1.0584
C_865	0.971
C_866	1.0229
C_867	1.134
C_868	0.79
C_869	0.73
C_870	0.4
C_871	0.21
C_872	0.89
C_873	0.945
C_874	0.903
C_875	0.904
C_876	0.915
C_877	0.938
C_878	0.75
C_879	0.72
C_880	0.62
C_881	0.53
C_882	0.74
C_883	0.83
C_884	1.0944
C_885	1.0488
C_886	0.92
C_887	0.983
C_888	0.989
C_889	1.0058
C_890	1.0258
C_891	1.0428
C_892	1.0213
C_893	1.129
C_894	1.0381
C_895	0.989
C_896	1.0437
C_897	1.0712
C_898	1.0338
C_899	1.061
C_900	1.0141
C_901	0.9905
C_902	1.0157
C_903	0.9932
C_904	0.972
C_905	1.103
C_906	0.9955
C_907	1.0514
C_908	0.955
C_909	1.0501
C_910	1.0603
C_911	0.75
C_912	1.0608
C_913	0.9909
C_914	1.0791
C_915	0.88
C_916	1.0252
C_917	0.946
C_918	0.87
C_919	0.917
C_920	0.942
C_921	0.988
C_922	0.96
C_923	1.0162
C_924	0.87
C_925	0.89
C_926	0.47
C_927	0.22
C_928	0.87
C_929	0.977
C_930	1.0384
C_931	1.00036
C_932	1.101
C_933	1.0241
C_934	1.0567
C_935	1.0998
C_936	0.88
C_937	0.86
C_938	0.955
C_939	0.82
C_940	0.978
C_941	0.8
C_942	0.89
C_943	0.61
C_944	0.86
C_945	1.0571
C_946	1.0428
C_947	0.92
C_948	1.0043
C_949	1.139
C_950	0.956
C_951	0.907
C_952	1.156
C_953	0.93
C_954	0.988
C_955	0.962
C_956	1.0364
C_957	1.246
C_958	0.71
C_959	0.85
C_960	1.0726
C_961	1.147
C_962	0.61
C_963	0.69
C_964	0.36
C_965	0.47
C_966	0.39
C_967	0.4
C_968	1.06
C_969	1.258
C_970	0.84
C_971	0.986
C_972	0.88
C_973	1.157
C_974	0.89
C_975	1.0323
C_976	1.265
C_977	1.0896
C_978	1.15
C_979	1.27
C_980	1.215
C_981	0.9937
C_982	0.994
C_983	0.66
C_984	0.913
C_985	0.89
C_986	0.86
C_987	0.76
C_988	0.69
C_989	0.58
C_990	0.44
C_991	0.52
C_992	0.941
C_993	0.82
C_994	1.0813
C_995	0.88
C_996	0.942
C_997	1.106
C_998	0.62
C_999	0.29
C_1000	1.0084
C_1001	1.0351
C_1002	1.029
C_1003	1.0514
C_1004	0.962
C_1005	1.0116
C_1006	1.0077
C_1007	0.88
C_1008	0.959
C_1009	1.0549
C_1010	0.9933
C_1011	1.0394
C_1012	0.946
C_1013	0.976
C_1014	0.958
C_1015	0.7
C_1016	1.0206
C_1017	0.9
C_1018	0.943
C_1019	0.79
C_1020	0.73
C_1021	0.51
C_1022	0.47
C_1023	0.39
C_1024	0.904
C_1025	0.955
C_1026	0.9944
C_1027	0.98
C_1028	0.9963
C_1029	1.0845
C_1030	1.0505
C_1031	1.046
C_1032	1.0595
C_1033	1.0538
C_1034	1.099
C_1035	1.0215
C_1036	0.976
C_1037	0.89
C_1038	0.81
C_1039	0.35
C_1040	0.9
C_1041	0.93
C_1042	0.95
C_1043	0.963
C_1044	0.92
C_1045	0.88
C_1046	0.66
C_1047	0.53
C_1048	0.88
C_1049	0.952
C_1050	0.96
C_1051	0.96
C_1052	0.951
C_1053	0.904
C_1054	0.88
C_1055	0.63
C_1056	1.0146
C_1057	1.0874
C_1058	0.987
C_1059	1.063
C_1060	0.909
C_1061	0.909
C_1062	0.8
C_1063	0.71
C_1064	1.029
C_1065	1.0605
C_1066	1.0224
C_1067	0.967
C_1068	0.94
C_1069	0.83
C_1070	0.9
C_1071	0.82
C_1072	0.968
C_1073	0.93
C_1074	0.87
C_1075	0.72
C_1076	0.72
C_1077	0.7
C_1078	0.65
C_1079	0.59
C_1080	0.84
C_1081	0.968
C_1082	0.984
C_1083	0.983
C_1084	1.126
C_1085	1.16
C_1086	0.84
C_1087	0.65
C_1088	0.83
C_1089	0.908
C_1090	0.87
C_1091	0.922
C_1092	0.908
C_1093	0.86
C_1094	0.67
C_1095	0.62
C_1096	0.89
C_1097	0.931
C_1098	0.917
C_1099	0.85
C_1100	0.921
C_1101	0.83
C_1102	0.83
C_1103	0.7
C_1104	0.93
C_1105	1.0382
C_1106	1.0407
C_1107	1.132
C_1108	0.78
C_1109	1.0652
C_1110	1.0212
C_1111	0.68
C_1112	1.0204
C_1113	0.967
C_1114	1.0749
C_1115	1.0814
C_1116	1.0018
C_1117	0.924
C_1118	0.89
C_1119	0.965
C_1120	0.985
C_1121	0.66
C_1122	0.32
C_1123	0.2
C_1124	0.2
C_1125	0.14
C_1126	0.12
C_1127	0.11
C_1128	0.9
C_1129	0.87
C_1130	1.0233
C_1131	1.231
C_1132	0.75
C_1133	0.6
C_1134	0.32
C_1135	0.31
C_1136	1.0422
C_1137	1.0639
C_1138	0.978
C_1139	1.14
C_1140	0.929
C_1141	0.916
C_1142	0.35
C_1143	0.13
C_1144	0.7
C_1145	0.87
C_1146	0.76
C_1147	0.64
C_1148	0.34
C_1149	0.21
C_1150	0.17
C_1151	0.14
C_1152	0.77
C_1153	0.9978
C_1154	0.9974
C_1155	1.0024
C_1156	0.976
C_1157	1.125
C_1158	0.85
C_1159	0.87
C_1160	1.11
C_1161	1.0222
C_1162	1.121
C_1163	1.0583
C_1164	0.928
C_1165	0.8
C_1166	0.63
C_1167	0.54
C_1168	1.0272
C_1169	1.278
C_1170	0.915
C_1171	0.8
C_1172	0.61
C_1173	0.72
C_1174	0.57
C_1175	0.41
C_1176	0.87
C_1177	0.57
C_1178	0.37
C_1179	0.23
C_1180	0.27
C_1181	0.23
C_1182	0.2
C_1183	0.22
C_1184	0.984
C_1185	1.0645
C_1186	1.193
C_1187	1.167
C_1188	1.617
C_1189	1.516
C_1190	1.583
C_1191	1.19
C_1192	0.9955
C_1193	1.0081
C_1194	1.0517
C_1195	1.0926
C_1196	1.066
C_1197	0.968
C_1198	0.976
C_1199	0.37
C_1200	0.949
C_1201	0.918
C_1202	0.63
C_1203	0.56
C_1204	0.38
C_1205	0.28
C_1206	0.21
C_1207	0.3
C_1208	0.905
C_1209	0.966
C_1210	0.921
C_1211	1.0668
C_1212	1.128
C_1213	0.83
C_1214	0.64
C_1215	0.54
C_1216	0.9946
C_1217	0.986
C_1218	0.927
C_1219	1.0318
C_1220	0.959
C_1221	0.964
C_1222	0.88
C_1223	0.74
C_1224	1.129
C_1225	1.0869
C_1226	1.0251
C_1227	1.172
C_1228	0.918
C_1229	0.9902
C_1230	0.944
C_1231	0.79
C_1232	1.0287
C_1233	0.935
C_1234	0.948
C_1235	0.67
C_1236	0.53
C_1237	0.46
C_1238	0.52
C_1239	0.3
C_1240	0.77
C_1241	0.972
C_1242	0.925
C_1243	1.0618
C_1244	0.947
C_1245	1.0688
C_1246	1.141
C_1247	0.959
C_1248	0.932
C_1249	1.0298
C_1250	1.189
C_1251	1.264
C_1252	1.102
C_1253	0.76
C_1254	0.65
C_1255	0.57
C_1256	0.95
C_1257	0.9976
C_1258	0.974
C_1259	0.87
C_1260	0.67
C_1261	0.6
C_1262	0.54
C_1263	0.45
C_1264	0.948
C_1265	0.8
C_1266	0.934
C_1267	0.901
C_1268	0.977
C_1269	0.79
C_1270	0.59
C_1271	0.44
C_1272	1.0655
C_1273	1.095
C_1274	1.0839
C_1275	1.105
C_1276	0.929
C_1277	0.976
C_1278	0.82
C_1279	0.84
C_1280	1.143
C_1281	0.984
C_1282	1.0244
C_1283	0.937
C_1284	1.0463
C_1285	0.921
C_1286	0.989
C_1287	0.61
C_1288	0.86
C_1289	0.73
C_1290	0.52
C_1291	0.39
C_1292	0.26
C_1293	0.28
C_1294	0.19
C_1295	0.12
C_1296	0.986
C_1297	1.0064
C_1298	0.931
C_1299	0.97
C_1300	0.9988
C_1301	1.216
C_1302	0.84
C_1303	0.76
C_1304	1.0775
C_1305	1.0763
C_1306	1.0776
C_1307	0.912
C_1308	0.68
C_1309	0.64
C_1310	0.65
C_1311	0.35
C_1312	0.84
C_1313	0.89
C_1314	0.7
C_1315	0.6
C_1316	0.39
C_1317	0.39
C_1318	0.24
C_1319	0.28
C_1320	0.77
C_1321	0.975
C_1322	0.79
C_1323	0.976
C_1324	0.9
C_1325	0.87
C_1326	0.6
C_1327	0.67
C_1328	1.256
C_1329	0.74
C_1330	1.299
C_1331	0.947
C_1332	1.243
C_1333	0.987
C_1334	1.0703
C_1335	0.57
C_1336	1.0991
C_1337	1.016
C_1338	1.175
C_1339	1.0769
C_1340	1.122
C_1341	1.0827
C_1342	0.935
C_1343	0.965
C_1344	1.0731
C_1345	0.54
C_1346	0.43
C_1347	0.27
C_1348	0.26
C_1349	0.19
C_1350	0.23
C_1351	0.1
C_1352	0.916
C_1353	0.941
C_1354	1.0243
C_1355	0.86
C_1356	0.79
C_1357	0.37
C_1358	0.26
C_1359	0.18
C_1360	1.0904
C_1361	0.78
C_1362	0.963
C_1363	0.9
C_1364	0.75
C_1365	0.59
C_1366	0.18
C_1367	0.15
C_1368	0.88
C_1369	1.0459
C_1370	0.88
C_1371	0.6
C_1372	0.37
C_1373	0.27
C_1374	0.27
C_1375	0.2
C_1376	0.83
C_1377	0.928
C_1378	0.89
C_1379	0.922
C_1380	1.0825
C_1381	0.964
C_1382	1.153
C_1383	1.0396
C_1384	1.157
C_1385	1.0715
C_1386	1.147
C_1387	1.0076
C_1388	1.151
C_1389	1.101
C_1390	1.0498
C_1391	0.5
C_1392	1.271
C_1393	1.274
C_1394	1.184
C_1395	1.264
C_1396	1.216
C_1397	1.235
C_1398	1.114
C_1399	0.29
C_1400	0.84
C_1401	0.76
C_1402	0.23
C_1403	0.24
C_1404	0.15
C_1405	0.2
C_1406	0.16
C_1407	0.19
C_1408	0.916
C_1409	0.975
C_1410	0.904
