source	target	direction	stimulation	inhibition	sources	references
Q5S007	Q14155	1	1	0	IntAct;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet	IntAct:21048939;ProtMapper:21048939;SIGNOR:21048939;iPTMnet:21048939
Q07817	P55211	1	0	1	HPRD;Lit-BM-17;SIGNOR	HPRD:9539746;Lit-BM-17:25241761;Lit-BM-17:9539746;SIGNOR:9539746
P31751	Q13188	1	0	1	ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet	ProtMapper:20231902;SIGNOR:20086174;SIGNOR:20231902;iPTMnet:20231902
Q9Y243	Q13188	1	0	1	ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet	ProtMapper:20231902;SIGNOR:20086174;SIGNOR:20231902;iPTMnet:20231902
O60674	P05107	1	1	0	SIGNOR	SIGNOR:25624455
P35222	P55287	1	0	0	BioGRID;HPRD;SIGNOR	BioGRID:10029089;HPRD:10029089;SIGNOR:10029089
Q9Y2T1	P49841	1	1	0	ACSN;HPRD;NetPath;PhosphoPoint;SIGNOR;Wang	ACSN:15611123;ACSN:22322943;ACSN:22745173;HPRD:10966653;HPRD:9566905;NetPath:9554852;SIGNOR:10911903
P48729	P49841	1	1	0	SIGNOR;Wang	SIGNOR:19293931;SIGNOR:22083140
O14640	P49841	1	0	1	KEGG;NetPath;PhosphoPoint;SIGNOR;Wang	NetPath:10428961;NetPath:16914735;SIGNOR:20837657
P06493	Q9H8V3	1	0	0	HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;dbPTM;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	HPRD-phos:16247472;HPRD-phos:18669648;HPRD:16247472;KEA:16170345;KEA:16247472;PhosphoSite:16170345;PhosphoSite:16247472;PhosphoSite:21189248;PhosphoSite:22172673;PhosphoSite:22898780;ProtMapper:16170345;ProtMapper:16247472;SIGNOR:16170345;SIGNOR:16247472;dbPTM:16170345;dbPTM:18669648;iPTMnet:16170345;iPTMnet:16247472;iPTMnet:18669648;phosphoELM:16170345;phosphoELM:16247472
