source	target	direction	stimulation	inhibition	confidence	sources	references
Q9H334	Q6ZN30	0	0	0	B	DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q9Y376	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q8IZS8	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q9BY67	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q13557	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q86V15	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q00534	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	P38936	0	0	0	A	DoRothEA;JASPAR_DoRothEA;TFe_DoRothEA	nan
Q9H334	Q8N8E3	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	O14647	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q3L8U1	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	P15882	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	P52757	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	O75122	0	0	0	B	DoRothEA;HOCOMOCO_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q02930	0	0	0	B	DoRothEA;HOCOMOCO_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	P07333	0	0	0	A	DoRothEA;PAZAR;TFe_DoRothEA	PAZAR:15286807
Q9H334	Q13618	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q9P265	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	O14490	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q8N1I0	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q03001	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	P52803	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q9H6Z9	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	O15372	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	O43432	0	0	0	B	DoRothEA;HOCOMOCO_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	Q15723	0	0	0	B	ARACNe-GTEx_DoRothEA;DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA	nan
Q9H334	O43491	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
Q9H334	P07814	0	0	0	B	DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	nan
