	viability
C_596	0.8411409975576187
C_597	0.6744582342916294
C_598	0.3927063051749107
C_599	0.2356556014563773
C_600	1.0233499007513618
C_601	1.0242949122647436
C_602	1.0193284445655306
C_603	0.9906840082392185
C_604	0.9870763770028521
C_605	0.9740475186557489
C_606	0.9344412203788159
C_607	0.9075181039260114
C_608	0.9183097757375545
C_609	0.9323177360353767
C_610	0.9663055410969605
C_611	0.98334528183156
C_612	0.9584725292617653
C_613	0.8755569025327302
C_614	0.6061332317668378
C_615	0.40772395785699544
C_616	1.0493639043455107
C_617	1.054122649721346
C_618	0.9599062251749753
C_619	0.8718600861816012
C_620	0.7589128153678504
C_621	0.5890013393904998
C_622	0.5022745234650466
C_623	0.3624154279225469
C_624	1.00230758606783
C_625	0.9954298749814252
C_626	0.9191345823949522
C_627	0.8877192625343397
C_628	0.8524860730402857
C_629	0.7847677564989562
C_630	0.583721968974958
C_631	0.23535466921441864
C_632	0.9973294749154114
C_633	0.9616043090077566
C_634	0.9466943797269416
C_635	0.9092954689265396
C_636	0.7610895430287478
C_637	0.7505524930015609
C_638	0.7397545053311596
C_639	0.7285475836350891
C_640	0.9802530447085962
C_641	0.9814436455714353
C_642	0.9896503636100016
C_643	1.0101204750010853
C_644	1.0321276151946246
C_645	1.0178324949523927
C_646	0.9765926412086829
C_647	0.8910370021130138
C_648	1.049538747264436
C_649	1.061832568792837
C_650	1.0518308514409074
C_651	0.9890032050285613
C_652	0.8133739726867096
C_653	0.7093029153514734
C_654	0.5147539297944617
C_655	0.3914933988594036
C_656	0.9995383677428951
C_657	0.9970382035427852
C_658	0.9826287393054987
C_659	0.9558739471517841
C_660	0.9511249646894373
C_661	0.9285007858334662
C_662	0.8359869158865095
C_663	0.8023359288054532
C_664	0.9064821105518492
C_665	0.9004662109721309
C_666	0.8863743522491454
C_667	0.8259919439203376
